('unit', 'state') 6
('sovereign', 'risk') 4
('sovereign', 'credit') 4
('south', 'asia') 4
('financi', 'crisi') 3
('southeast', 'asia') 3
('cours', 'student') 2
('principl', 'western') 2
('western', 'tradit') 2
('tradit', 'chines') 2
('default', 'debt') 2
('emerg', 'market') 2
('global', 'financi') 2
('covid', 'pandem') 2
('credit', 'rate') 2
('factor', 'influenc') 2
('influenc', 'sovereign') 2
('credit', 'qualiti') 2
('case', 'studi') 2
('debt', 'crisi') 2
('asia', 'cours') 2
('develop', 'countri') 2
('moodi', 'investor') 2
('investor', 'servic') 2
('asia', 'part') 2
('polit', 'scienc') 2
('centuri', 'asia') 2
('concept', 'nation') 2
('polit', 'econom') 2
('State,', 'Strat].') 1
('engag', 'china') 1
('china', 'can') 1
('state', 'china') 1
('china', '100') 1
('100', 'year') 1
('year', 'requir') 1
('requir', 'depth') 1
('depth', 'analysi') 1
('analysi', 'with') 1
('with', 'cours') 1
('student', 'explor') 1
('explor', 'american') 1
('american', 'well') 1
('well', 'chines') 1
('chines', 'perspect') 1
('perspect', 'govern') 1
('govern', 'china') 1
('china', 'religi') 1
('religi', 'freedom') 1
('freedom', 'human') 1
('human', 'right') 1
('right', 'differ') 1
('differ', 'strategi') 1
('strategi', 'polit') 1
('polit', 'militari') 1
('militari', 'engag') 1
('engag', 'as') 1
('as', 'start') 1
('start', 'point') 1
('point', 'explor') 1
('explor', 'differ') 1
('differ', 'principl') 1
('chines', 'approach') 1
('approach', 'cours') 1
('cours', 'highlight') 1
('highlight', 'scientif') 1
('scientif', 'principl') 1
('chines', 'medicin') 1
('medicin', 'thi') 1
('thi', 'offer') 1
('offer', 'insight') 1
('insight', 'differ') 1
('differ', 'approach') 1
('approach', 'public') 1
('public', 'healthcar') 1
('healthcar', 'manag') 1
('manag', 'well-b') 1
('well-b', 'treatment') 1
('treatment', 'ill') 1
('ill', 'thi') 1
('cours', 'design') 1
('design', 'student') 1
('student', 'look') 1
('look', 'opportun') 1
('opportun', 'develop') 1
('develop', 'nuanc') 1
('nuanc', 'compar') 1
('compar', 'insight') 1
('insight', 'chines') 1
('chines', 'american') 1
('american', 'relat') 1
('relat', 'order') 1
('order', 'maxim') 1
('maxim', 'access') 1
('access', 'understand') 1
('understand', 'differ') 1
('differ', 'fascin') 1
('fascin', 'system') 1
('system', 'organ') 1
('organ', 'societi') 1
('societi', 'scienc') 1
('scienc', 'intern') 1
('intern', 'relat') 1
('relat', '[Sovereign') 1
('[Sovereign', 'Risk') 1
('Risk', 'Asia].') 1
('Asia].', 'sovereign') 1
('risk', 'risk') 1
('risk', 'nation') 1
('nation', 'govern') 1
('govern', 'default') 1
('debt', 'oblig') 1
('oblig', 'for') 1
('for', 'post-world') 1
('post-world', 'war') 1
('war', 'ii') 1
('ii', 'era') 1
('era', 'sovereign') 1
('risk', 'mainli') 1
('mainli', 'concern') 1
('concern', 'face') 1
('face', 'creditor') 1
('creditor', 'emerg') 1
('market', 'govern') 1
('govern', 'howev') 1
('howev', 'wake') 1
('wake', 'global') 1
('crisi', '2008') 1
('2008', 'advanc') 1
('advanc', 'countri') 1
('countri', 'govern') 1
('govern', 'debt') 1
('debt', 'grown') 1
('grown', 'level') 1
('level', 'previous') 1
('previous', 'seen') 1
('seen', 'wartim') 1
('wartim', 'ongo') 1
('ongo', 'covid') 1
('pandem', 'push') 1
('push', 'sovereign') 1
('sovereign', 'debt') 1
('debt', 'even') 1
('even', 'higher') 1
('higher', 'histor') 1
('histor', 'level') 1
('level', 'trend') 1
('trend', 'undermin') 1
('undermin', 'creditworthi') 1
('creditworthi', 'govern') 1
('govern', 'formerli') 1
('formerli', 'judg') 1
('judg', 'lowest') 1
('lowest', 'risk') 1
('risk', 'thi') 1
('cours', 'take') 1
('take', 'posit') 1
('posit', 'deficit') 1
('deficit', 'debt') 1
('debt', 'matter') 1
('matter', 'although') 1
('although', 'student') 1
('student', 'welcom') 1
('welcom', 'challeng') 1
('challeng', 'view') 1
('view', 'it') 1
('it', 'provid') 1
('provid', 'multifacet') 1
('multifacet', 'view') 1
('view', 'sovereign') 1
('risk', 'primarili') 1
('primarili', 'len') 1
('len', 'credit') 1
('rate', 'agenc') 1
('agenc', 'methodolog') 1
('methodolog', 'it') 1
('it', 'examin') 1
('examin', 'interplay') 1
('interplay', 'econom') 1
('econom', 'institut') 1
('institut', 'fiscal') 1
('fiscal', 'financi') 1
('financi', 'market') 1
('market', 'geopolit') 1
('geopolit', 'factor') 1
