('thi', 'cours') 5
('disput', 'settlement') 3
('the', 'cours') 3
('geopolit', 'risk') 3
('global', 'busi') 3
('world', 'trade') 2
('trade', 'organ') 2
('wto', 'disput') 2
('polit', 'economi') 2
('unit', 'state') 2
('oper', 'profit') 2
('case', 'studi') 2
('gener', 'background') 2
('select', 'citi') 2
('latin', 'america') 2
('america', 'asia') 2
('busi', 'practition') 2
('cours', 'core') 2
('turkey', 'china') 2
('//', 'Economics') 1
('Economics', 'Business.') 1
('Business.', '[WTO') 1
('[WTO', 'Dispute') 1
('Dispute', 'Settlement].') 1
('Settlement].', 'the') 1
('the', 'multilater') 1
('multilater', 'trade') 1
('trade', 'system') 1
('system', 'wide') 1
('wide', 'argu') 1
('argu', 'rules-bas') 1
('rules-bas', 'ever') 1
('ever', 'befor') 1
('befor', 'disput') 1
('settlement', 'world') 1
('organ', 'wto') 1
('wto', 'particular') 1
('particular', 'increasingli') 1
('increasingli', 'call') 1
('call', 'upon') 1
('upon', 'adjud') 1
('adjud', 'right') 1
('right', 'oblig') 1
('oblig', 'intern') 1
('intern', 'commerc') 1
('commerc', 'these') 1
('these', 'decis') 1
('decis', 'bear') 1
('bear', 'directli') 1
('directli', 'busi') 1
('busi', 'opportun') 1
('opportun', 'nation') 1
('nation', 'intern') 1
('intern', 'inde') 1
('inde', 'decis') 1
('decis', 'influenc') 1
('influenc', 'specif') 1
('specif', 'industri') 1
('industri', 'trade-rel') 1
('trade-rel', 'measur') 1
('measur', 'breadth') 1
('breadth', 'depth') 1
('depth', 'global') 1
('global', 'gener') 1
('gener', 'thi') 1
('cours', 'wto') 1
('settlement', 'tradelab') 1
('tradelab', 'conduct') 1
('conduct', 'auspic') 1
('auspic', 'tradelab') 1
('tradelab', 'geneva-bas') 1
('geneva-bas', 'ngo') 1
('ngo', 'see') 1
('see', 'www') 1
('www', 'tradelaborg') 1
('tradelaborg', 'the') 1
('cours', 'begin') 1
('begin', 'examin') 1
('examin', 'theori') 1
('theori', 'polit') 1
('economi', 'set') 1
('set', 'stage') 1
('stage', 'in-depth') 1
('in-depth', 'look') 1
('look', 'intern') 1
('intern', 'trade') 1
('trade', 'law') 1
